,country,n_athletes
0,afghanistan,6
1,ain,32
2,albania,8
3,algeria,46
4,american-samoa,2
5,andorra,2
6,angola,25
7,antigua-and-barbuda,5
8,argentina,143
9,armenia,15
10,aruba,6
11,australia,478
12,austria,84
13,azerbaijan,48
14,bahamas,19
15,bahrain,15
16,bangladesh,5
17,barbados,4
18,belgium,179
19,belize,1
20,benin,5
21,bermuda,8
22,bhutan,3
23,bolivia,4
24,bosnia-and-herzegovina,5
25,botswana,14
26,brazil,289
27,brunei-darussalam,3
28,bulgaria,46
29,burkina-faso,8
30,burundi,7
31,cabo-verde,7
32,cambodia,3
33,cameroon,6
34,canada,332
35,cayman-islands,4
36,centr-afric-rep,4
37,chad,3
38,chile,48
39,china,398
40,chinese-taipei,60
41,colombia,88
42,comoros,4
43,congo,4
44,cook-islands,2
45,costa-rica,6
46,cote-d-ivoire,13
47,croatia,73
48,cuba,61
49,cyprus,15
50,czechia,111
51,denmark,131
52,djibouti,7
53,dominica,4
54,dominican-republic,59
55,dpr-korea,14
56,dr-congo,6
57,ecuador,40
58,egypt,157
59,el-salvador,8
60,eor,37
61,equatorial-guinea,3
62,eritrea,12
63,estonia,24
64,eswatini,3
65,ethiopia,36
66,fiji,36
67,finland,57
68,france,600
69,gabon,5
70,gambia,7
71,georgia,28
72,germany,456
73,ghana,9
74,great-britain,340
75,greece,100
76,grenada,6
77,guam,8
78,guatemala,16
79,guinea,25
80,guinea-bissau,6
81,guyana,5
82,haiti,7
83,honduras,4
84,hong-kong--china,34
85,hungary,180
86,iceland,5
87,india,112
88,indonesia,29
89,ir-iran,40
90,iraq,23
91,ireland,144
92,israel,89
93,italy,398
94,jamaica,65
95,japan,432
96,jordan,12
97,kazakhstan,79
98,kenya,80
99,kiribati,3
100,korea,147
101,kosovo,9
102,kuwait,9
103,kyrgyzstan,16
104,lao-pdr,4
105,latvia,29
106,lebanon,9
107,lesotho,3
108,liberia,8
109,libya,6
110,liechtenstein,1
111,lithuania,51
112,luxembourg,13
113,madagascar,7
114,malawi,3
115,malaysia,26
116,maldives,5
117,mali,24
118,malta,5
119,marshall-islands,4
120,mauritania,2
121,mauritius,12
122,mexico,108
123,micronesia,3
124,monaco,6
125,mongolia,32
126,montenegro,19
127,morocco,60
128,mozambique,7
129,myanmar,2
130,namibia,4
131,nauru,1
132,nepal,7
133,netherlands,287
134,new-zealand,208
135,nicaragua,7
136,niger,7
137,nigeria,86
138,north-macedonia,6
139,norway,109
140,oman,4
141,pakistan,7
142,palau,3
143,palestine,8
144,panama,8
145,papua-new-guinea,7
146,paraguay,29
147,peru,26
148,philippines,22
149,poland,226
150,portugal,75
151,puerto-rico,51
152,qatar,13
153,republic-of-moldova,26
154,romania,96
155,rwanda,7
156,saint-lucia,4
157,samoa,24
158,san-marino,5
159,sao-tome-and-principe,3
160,saudi-arabia,8
161,senegal,11
162,serbia,115
163,seychelles,3
164,sierra-leone,4
165,singapore,23
166,slovakia,28
167,slovenia,95
168,solomon-islands,2
169,somalia,1
170,south-africa,142
171,south-sudan,14
172,spain,399
173,sri-lanka,6
174,st-kitts-and-nevis,3
175,stvincentandgrenadines,4
176,sudan,4
177,suriname,5
178,sweden,125
179,switzerland,137
180,syria,6
181,tajikistan,14
182,tanzania,7
183,thailand,52
184,timor-leste,4
185,togo,5
186,tonga,4
187,trinidad-and-tobago,17
188,tunisia,26
189,turkiye,101
190,turkmenistan,6
191,tuvalu,2
192,ua-emirates,13
193,uganda,25
194,ukraine,142
195,united-states,629
196,uruguay,27
197,uzbekistan,89
198,vanuatu,6
199,venezuela,31
200,vietnam,16
201,virgin-islands--b,4
202,virgin-islands--us,5
203,yemen,4
204,zambia,31
205,zimbabwe,7
